trial,rep,n_rate,inoc_rate,trt,target_strain,copies_per_g_fw
MI01451,6,Low,High,PROVEN40,6-5687,754.57403639501
MS01451,1,Low,Control,UTC,137-2253,1338.015417508145
MS01451,1,Low,Control,UTC,6-5687,328.1046766311045
MS01451,1,Low,Low,PROVEN40,137-2253,22561.741460003403
MS01451,1,Low,Low,PROVEN40,6-5687,2793.84903040987
MS01451,1,Low,Medium,PROVEN40,137-2253,69498.422692654
MS01451,1,Low,Medium,PROVEN40,6-5687,10898.094501715495
MS01451,1,Low,High,PROVEN40,137-2253,3750.2096154799
MS01451,1,Low,High,PROVEN40,6-5687,883.8637620371875
MS01451,2,Low,Control,UTC,137-2253,1329.4591646059362
MS01451,2,Low,Control,UTC,6-5687,292.19288477762
MS01451,2,Low,Low,PROVEN40,137-2253,7921.315032053406
MS01451,2,Low,Low,PROVEN40,6-5687,1178.5612974153275
MS01451,2,Low,Medium,PROVEN40,137-2253,108185.01813534301
MS01451,2,Low,Medium,PROVEN40,6-5687,17129.560513998753
MS01451,2,Low,High,PROVEN40,137-2253,30044.59926947065
MS01451,2,Low,High,PROVEN40,6-5687,4069.374585652595
MS01451,3,Low,Control,UTC,137-2253,781.1112898328136
MS01451,3,Low,Control,UTC,6-5687,147.38988752478951
MS01451,3,Low,Low,PROVEN40,137-2253,33105.21443896305
MS01451,3,Low,Low,PROVEN40,6-5687,3802.001073800215
MS01451,3,Low,Medium,PROVEN40,137-2253,220375.0495122458
MS01451,3,Low,Medium,PROVEN40,6-5687,32886.0051168343
MS01451,3,Low,High,PROVEN40,137-2253,72939.39001551225
MS01451,3,Low,High,PROVEN40,6-5687,10072.812620378425
MS01451,4,Low,Control,UTC,137-2253,1054.6019441657695
MS01451,4,Low,Control,UTC,6-5687,227.2106231908915
MS01451,4,Low,Low,PROVEN40,137-2253,11455.887922063084
MS01451,4,Low,Low,PROVEN40,6-5687,1268.612359190335
MS01451,4,Low,Medium,PROVEN40,137-2253,80036.04993833475
MS01451,4,Low,Medium,PROVEN40,6-5687,10469.108122832491
MS01451,4,Low,High,PROVEN40,137-2253,3702.05191831766
MS01451,4,Low,High,PROVEN40,6-5687,423.63631982556046
MS01451,5,Low,Control,UTC,137-2253,897.4643788627841
MS01451,5,Low,Control,UTC,6-5687,145.079666333155
MS01451,5,Low,Low,PROVEN40,137-2253,11426.346473711115
MS01451,5,Low,Low,PROVEN40,6-5687,1195.1457564532388
MS01451,5,Low,Medium,PROVEN40,137-2253,307204.7186965961
MS01451,5,Low,Medium,PROVEN40,6-5687,651347.7888303365
MS01451,5,Low,High,PROVEN40,137-2253,6737.071145315545
MS01451,5,Low,High,PROVEN40,6-5687,1013.0621863401345
MS01451,6,Low,Control,UTC,137-2253,1481.4782020087296
MS01451,6,Low,Control,UTC,6-5687,249.03955723848003
MS01451,6,Low,Low,PROVEN40,137-2253,15078.363623439778
MS01451,6,Low,Low,PROVEN40,6-5687,1994.9762881814481
MS01451,6,Low,Medium,PROVEN40,137-2253,44671.831578947604
MS01451,6,Low,Medium,PROVEN40,6-5687,330786.3420863388
MS01451,6,Low,High,PROVEN40,137-2253,30382.951296819054
MS01451,6,Low,High,PROVEN40,6-5687,8897.493426301586
NE04451,1,Low,Control,UTC,137-2253,66.7688103504943
NE04451,1,Low,Control,UTC,6-5687,0
NE04451,1,Low,Low,PROVEN40,137-2253,103.3234393904842
NE04451,1,Low,Medium,PROVEN40,137-2253,14.7609423266044
NE04451,1,Low,Medium,PROVEN40,6-5687,0
NE04451,1,Low,High,PROVEN40,137-2253,2584.45742756551
NE04451,1,Low,High,PROVEN40,6-5687,142.982036586116
NE04451,2,Low,Control,UTC,137-2253,47.7260822104852
NE04451,2,Low,Control,UTC,6-5687,180.4802870355665
NE04451,2,Low,Low,PROVEN40,137-2253,6.76309544411525
NE04451,2,Low,Low,PROVEN40,6-5687,248.7658477229525
NE04451,2,Low,Medium,PROVEN40,137-2253,17.9788185063953
NE04451,2,Low,Medium,PROVEN40,6-5687,491.5869442231545
NE04451,2,Low,High,PROVEN40,137-2253,195.9119846336103
NE04451,2,Low,High,PROVEN40,6-5687,388.251530123827
NE04451,3,Low,Control,UTC,137-2253,204.1667539141405
NE04451,3,Low,Control,UTC,6-5687,30.3228545250758
